type,rd_percentage,pause,bandwidth_bytes_per_second,latency_core_ptr_chase,latency_mem_ptr_chase,latency_mem_ptr_chase_ram,bandwidth_ram
DDR4-1.3333333,0,0,165733402098.95053,153.49323549644578,138.0952380952381,148.84599447114985,105218174910.0
DDR4-1.3333333,0,5,158404874362.8186,127.81079534617585,110.0,124.2964913574123,100552603698.0
DDR4-1.3333333,0,10,153213716341.8291,112.51993028616404,93.33333333333333,121.74340129358504,97264903554.0
DDR4-1.3333333,0,15,133153995802.09897,88.58066083576287,66.66666666666666,99.3247449831186,84524010000.0
DDR4-1.3333333,0,20,121512913943.02849,78.70567417718532,56.666666666666664,87.36135293403382,77141333328.0
DDR4-1.3333333,0,25,122061797901.04948,79.43952697358013,56.666666666666664,86.78493966962348,77477805096.0
DDR4-1.3333333,0,30,119013853073.46329,77.76291545189504,53.80952380952381,83.37978958449474,75556461768.0
DDR4-1.3333333,0,35,113791597001.49925,75.05232862375719,51.904761904761905,80.84801677120042,72236521734.0
DDR4-1.3333333,0,40,106898038980.50975,72.22297808012094,50.95238095238095,79.46436573660914,67857783108.0
DDR4-1.3333333,0,45,101783114842.5787,70.33284241531663,47.14285714285714,72.75447556886189,64607440278.0
DDR4-1.3333333,0,50,95867701349.32533,68.93166357452071,46.19047619047619,71.30540653263516,60852006000.0
DDR4-1.3333333,0,55,92222512743.62819,67.40072068431333,43.80952380952381,67.94471944861799,58538154924.0
DDR4-1.3333333,0,60,88163646176.91154,66.45505226480836,42.38095238095238,65.93530964838273,55962546726.0
DDR4-1.3333333,0,65,84310644677.66118,65.60681580324436,42.38095238095238,65.41690138542253,53503872066.0
DDR4-1.3333333,0,70,81264983508.24588,64.68114259921978,40.476190476190474,62.76093531902338,51569479260.0
DDR4-1.3333333,0,80,75750016191.90405,62.51532172502027,39.523809523809526,61.09428752735718,48068125938.0
DDR4-1.3333333,0,90,68210317241.37932,61.049876452823284,37.14285714285714,57.151843428796084,43271804100.0
DDR4-1.3333333,0,100,62474976911.544235,59.95363960562198,35.714285714285715,54.88087562202189,39629977014.0
DDR4-1.3333333,0,120,55164987106.44678,58.740646258503396,35.238095238095234,54.00535860013396,34994854572.0
DDR4-1.3333333,0,140,48648904347.82608,57.688054882970135,34.285714285714285,52.71233456780837,30864567720.0
DDR4-1.3333333,0,160,43333824287.85607,57.523981744596576,33.80952380952381,51.92406654810166,27493197402.0
DDR4-1.3333333,0,180,39151505847.07646,57.21565769164808,32.857142857142854,50.994257774856436,24840827586.0
DDR4-1.3333333,0,200,35725749925.03748,56.98861469273902,32.857142857142854,50.516483012912076,22664635680.0
DDR4-1.3333333,0,220,32855393103.44828,56.814824263038545,32.857142857142854,50.57246751431169,20831568216.0
DDR4-1.3333333,0,260,28448940329.835083,56.72910997732426,32.38095238095238,49.72642624316066,18038980512.0
DDR4-1.3333333,0,300,25610353223.38831,56.33884297520661,31.904761904761905,49.47348198683705,16239176412.0
DDR4-1.3333333,0,340,23053730734.632683,56.38902007083825,31.904761904761905,49.006960225174005,14618994504.0
DDR4-1.3333333,0,380,21248767616.191906,56.29369764434699,32.38095238095238,49.82944549573614,13471920042.0
DDR4-1.3333333,0,450,18635725337.331333,55.871668339466936,32.38095238095238,49.742077243551925,11813357322.0
DDR4-1.3333333,0,550,15987353523.23838,55.8445968551355,31.904761904761905,49.16343347908583,10131254370.0
DDR4-1.3333333,0,600,14725699550.224888,56.079085131995186,32.38095238095238,49.52152473803812,9331398300.0
DDR4-1.3333333,0,700,12988238680.659672,55.90294970447195,31.904761904761905,49.4657239866431,8227054470.0
DDR4-1.3333333,0,800,11685143028.485758,55.68507566291822,31.428571428571427,48.549085963727144,7401099450.0
DDR4-1.3333333,0,900,10612159520.239882,55.544745245036786,31.428571428571427,48.683779967094495,6719200398.0
DDR4-1.3333333,0,1000,9730868965.517242,55.53899763987227,31.904761904761905,48.87102647177566,6159096450.0
DDR4-1.3333333,0,2000,5613298950.524738,54.95460280886548,30.952380952380953,47.41223818530595,3547666164.0
DDR4-1.3333333,0,10000,2161079460.2698655,53.657158926562744,28.095238095238095,43.33954833348871,1356121938.0
DDR4-1.3333333,10,0,156632889955.0225,146.4594396898544,129.52380952380952,137.2768609319215,99390688650.0
DDR4-1.3333333,10,5,147105199400.29987,123.37837837837837,103.33333333333333,122.99014207475355,93350828586.0
DDR4-1.3333333,10,10,138559549025.48724,107.59531844233756,83.80952380952381,110.19323000483075,87891030486.0
