type,rd_percentage,pause,bandwidth_bytes_per_second,latency_core_ptr_chase,latency_mem_ptr_chase
DDR4-1.3333333,0,0,101876274662.66867,210.0233385661957,189.04761904761904
DDR4-1.3333333,0,5,100849971814.09296,177.11052213093026,154.76190476190476
DDR4-1.3333333,0,10,99441223388.30585,162.01263362487853,135.71428571428572
DDR4-1.3333333,0,15,93145379310.34483,132.23842546727428,98.57142857142857
DDR4-1.3333333,0,20,86961165817.09146,121.77569241982506,89.52380952380952
DDR4-1.3333333,0,25,84531823688.15593,116.44642130356415,83.33333333333333
DDR4-1.3333333,0,30,82106108545.72716,113.99931972789115,82.38095238095238
DDR4-1.3333333,0,35,78084720839.58022,110.89967369061445,78.09523809523809
DDR4-1.3333333,0,40,68582016191.904045,102.36811416295842,70.95238095238095
DDR4-1.3333333,0,45,65098698650.67466,102.24489795918367,69.52380952380952
DDR4-1.3333333,0,50,63588260269.865074,100.52415966386553,67.61904761904762
DDR4-1.3333333,0,55,61822925337.33134,100.20508203281312,68.57142857142857
DDR4-1.3333333,0,60,60114144527.73614,99.87884204776802,67.61904761904762
DDR4-1.3333333,0,65,57966632683.65817,99.42554247976562,66.66666666666666
DDR4-1.3333333,0,70,55875137631.18442,97.03994789405124,66.66666666666666
DDR4-1.3333333,0,80,51974313643.17841,96.19061990993579,62.857142857142854
DDR4-1.3333333,0,90,47083255172.413795,93.51947628366415,60.476190476190474
DDR4-1.3333333,0,100,35944242278.86057,89.68944683136412,55.238095238095234
DDR4-1.3333333,0,120,32697350524.737637,89.33528967142412,55.714285714285715
DDR4-1.3333333,0,140,30238119340.329838,88.37414965986395,55.238095238095234
DDR4-1.3333333,0,160,28118212893.553223,87.84533684441519,54.76190476190476
DDR4-1.3333333,0,180,26327421889.055473,87.62951334379905,54.76190476190476
DDR4-1.3333333,0,200,24816311844.07796,88.00921658986175,56.19047619047619
DDR4-1.3333333,0,220,23787456671.66417,87.65820687249258,53.33333333333333
DDR4-1.3333333,0,260,21504805997.0015,86.53689830362524,52.857142857142854
DDR4-1.3333333,0,300,19770501949.025486,86.38177042969086,53.80952380952381
DDR4-1.3333333,0,340,18522012593.70315,86.90385198665453,53.80952380952381
DDR4-1.3333333,0,380,17279366716.641678,85.43835034013604,51.904761904761905
DDR4-1.3333333,0,450,15299569415.292355,85.80969494716125,52.857142857142854
DDR4-1.3333333,0,550,13420521739.130434,85.45038265306123,52.38095238095238
DDR4-1.3333333,0,600,12646294452.773613,85.13533163265305,51.42857142857142
DDR4-1.3333333,0,700,11253061469.26537,85.67809010396611,50.95238095238095
DDR4-1.3333333,0,800,10127016491.754124,85.74714414067513,51.42857142857142
DDR4-1.3333333,0,900,9344594902.548727,84.65284995985972,52.38095238095238
DDR4-1.3333333,0,1000,8680050374.812595,84.54100646469767,50.476190476190474
DDR4-1.3333333,0,2000,5012696851.574213,83.27845528455283,50.0
DDR4-1.3333333,0,10000,1780044377.8110945,78.2807490812417,44.76190476190476
DDR4-1.3333333,10,0,101550047376.31186,198.73528541851522,172.38095238095238
DDR4-1.3333333,10,5,100046728635.68216,175.24577010291296,141.9047619047619
DDR4-1.3333333,10,10,98026900149.92503,155.32475262832406,126.66666666666666
DDR4-1.3333333,10,15,90839421889.05547,129.29399306892566,98.57142857142857
DDR4-1.3333333,10,20,84167177211.3943,119.38793412101683,84.76190476190476
DDR4-1.3333333,10,25,81239728935.53224,114.07069160997732,80.0
DDR4-1.3333333,10,30,78773176611.69415,113.26620565581605,80.0
DDR4-1.3333333,10,35,75455088455.77211,110.14214395435593,78.09523809523809
DDR4-1.3333333,10,40,68147113643.17841,105.2549973835688,74.76190476190476
DDR4-1.3333333,10,45,62278246476.76162,101.2450491307634,69.04761904761905
DDR4-1.3333333,10,50,60862042578.71065,101.68357193623717,68.09523809523809
DDR4-1.3333333,10,55,59358858170.91454,99.81677342469834,68.57142857142857
DDR4-1.3333333,10,60,57950848575.71214,99.88256616515218,69.04761904761905
DDR4-1.3333333,10,65,55992007196.4018,98.49111731023343,66.19047619047619
DDR4-1.3333333,10,70,54110944527.73613,97.98937992463172,64.76190476190476
DDR4-1.3333333,10,80,50497861469.265366,96.11665229472071,64.28571428571428
DDR4-1.3333333,10,90,44147679760.11994,93.85521932911095,60.95238095238095
DDR4-1.3333333,10,100,34952530134.93254,90.34121728161463,57.14285714285714
DDR4-1.3333333,10,120,31945691154.42279,90.36581520025229,57.14285714285714
DDR4-1.3333333,10,140,29750692653.673164,89.78875760830648,57.61904761904761
DDR4-1.3333333,10,160,27705475262.368816,89.53933941997852,56.19047619047619
DDR4-1.3333333,10,180,25895138830.58471,87.93978494623656,55.714285714285715
DDR4-1.3333333,10,200,24564840779.6102,88.54797243572753,55.238095238095234
DDR4-1.3333333,10,220,23479229985.0075,89.1056867191321,55.714285714285715
DDR4-1.3333333,10,260,21444423388.30585,87.94180381830151,54.285714285714285
DDR4-1.3333333,10,300,19709313343.328335,87.60204081632654,55.238095238095234
DDR4-1.3333333,10,340,18511870464.76762,87.79732280008778,54.76190476190476
DDR4-1.3333333,10,380,17289979010.49475,86.9665930066294,54.76190476190476
DDR4-1.3333333,10,450,15373788305.847076,86.9657697473894,53.80952380952381
DDR4-1.3333333,10,550,13488023988.005999,85.93411200958371,53.80952380952381
DDR4-1.3333333,10,600,12702714242.878563,85.85089633337611,54.285714285714285
DDR4-1.3333333,10,700,11360460569.715143,85.89860094981388,52.38095238095238
DDR4-1.3333333,10,800,10261013493.253374,85.11738945578232,51.904761904761905
DDR4-1.3333333,10,900,9466636281.859072,85.63868566294443,50.95238095238095
DDR4-1.3333333,10,1000,8740298650.674664,85.14999999999999,52.38095238095238
DDR4-1.3333333,10,2000,5079527436.28186,83.66599891490338,49.52380952380952
DDR4-1.3333333,10,10000,1795291154.4227886,78.39045273281727,43.80952380952381
DDR4-1.3333333,20,0,100807656971.51425,196.69067055393586,136.66666666666666
DDR4-1.3333333,20,5,99112376611.69415,167.36120789779324,122.85714285714285
DDR4-1.3333333,20,10,97620610494.75262,153.19773752197506,113.80952380952381
DDR4-1.3333333,20,15,89887337931.03448,128.71852137081248,95.23809523809524
DDR4-1.3333333,20,20,83486579910.04498,118.82023070097604,84.76190476190476
DDR4-1.3333333,20,25,79823726536.73164,114.43977591036413,80.0
DDR4-1.3333333,20,30,77596488155.92204,113.32029009951087,81.9047619047619
DDR4-1.3333333,20,35,74247570614.69266,110.22191134518323,77.14285714285714
DDR4-1.3333333,20,40,66835084857.57122,103.47763347763347,69.04761904761905
DDR4-1.3333333,20,45,61123655772.113945,102.95309702828499,67.14285714285714
DDR4-1.3333333,20,50,59604015592.2039,100.88793146888383,69.04761904761905
DDR4-1.3333333,20,55,58006395202.3988,100.81738473167043,66.66666666666666
DDR4-1.3333333,20,60,56529069865.06747,100.2625050020008,70.0
DDR4-1.3333333,20,65,54748353823.088455,98.33088631135907,66.19047619047619
DDR4-1.3333333,20,70,53000817991.0045,98.38100132139186,64.76190476190476
DDR4-1.3333333,20,80,49704961919.04049,96.24465842675097,62.38095238095238
DDR4-1.3333333,20,90,45519217991.00449,94.24288060051606,60.476190476190474
DDR4-1.3333333,20,100,34359652173.91304,90.93374149659864,57.61904761904761
DDR4-1.3333333,20,120,31502527136.431786,90.85156462585033,58.095238095238095
DDR4-1.3333333,20,140,29442936131.934032,90.51096995089426,58.095238095238095
DDR4-1.3333333,20,160,27370247676.16192,88.7326618959272,55.238095238095234
DDR4-1.3333333,20,180,25518939730.134933,89.32159530478859,55.714285714285715
DDR4-1.3333333,20,200,24307727736.131935,89.30452180872349,55.714285714285715
DDR4-1.3333333,20,220,23344897151.424286,89.06029078297986,55.238095238095234
DDR4-1.3333333,20,260,21204639280.35982,88.53591306652531,54.76190476190476
DDR4-1.3333333,20,300,19521851874.062973,87.88558262014483,54.285714285714285
DDR4-1.3333333,20,340,18406755022.488754,88.05587008997146,54.285714285714285
DDR4-1.3333333,20,380,17210722638.680656,87.98082071538293,54.285714285714285
DDR4-1.3333333,20,450,15308704047.976011,87.0298106503748,54.285714285714285
DDR4-1.3333333,20,550,13429925037.48126,86.89488279388188,54.285714285714285
DDR4-1.3333333,20,600,12663421889.055473,86.83647471727545,53.80952380952381
DDR4-1.3333333,20,700,11313309745.127436,86.3358735899423,52.857142857142854
DDR4-1.3333333,20,800,10234617091.454273,85.79343687160397,51.42857142857142
DDR4-1.3333333,20,900,9438359220.389805,85.73884396525905,51.904761904761905
DDR4-1.3333333,20,1000,8708797601.1994,85.60522825482394,51.42857142857142
DDR4-1.3333333,20,2000,5073213793.103449,83.58607737573557,49.047619047619044
DDR4-1.3333333,20,10000,1790455172.413793,78.75211356218789,44.285714285714285
DDR4-1.3333333,30,0,101762360419.79012,206.65893630179343,193.8095238095238
DDR4-1.3333333,30,5,99955180809.5952,172.65659175062427,150.0
DDR4-1.3333333,30,10,97975249175.41231,154.11832148589772,123.33333333333333
DDR4-1.3333333,30,15,90124771214.3928,129.8912212504049,98.57142857142857
DDR4-1.3333333,30,20,83685123838.08096,118.62448979591836,88.09523809523809
DDR4-1.3333333,30,25,79481647976.01198,114.4804779054479,80.47619047619047
DDR4-1.3333333,30,30,77293836281.85909,112.12027433924389,79.04761904761905
DDR4-1.3333333,30,35,74227756521.73914,110.14488698705289,78.57142857142857
DDR4-1.3333333,30,40,66583277961.01949,104.47286700939917,69.52380952380952
DDR4-1.3333333,30,45,60556771214.39281,101.91572748502387,68.57142857142857
DDR4-1.3333333,30,50,59113835082.45878,100.33053221288515,68.57142857142857
DDR4-1.3333333,30,55,57540394602.698654,100.24574829931971,67.61904761904762
DDR4-1.3333333,30,60,56343287556.22189,99.03795721187025,66.19047619047619
DDR4-1.3333333,30,65,54410439580.2099,98.35501394802526,65.23809523809524
DDR4-1.3333333,30,70,52465031484.25787,97.7173469387755,65.23809523809524
DDR4-1.3333333,30,80,48923547826.08696,96.3520647695698,63.33333333333333
DDR4-1.3333333,30,90,44837680359.82009,94.91572184429326,62.857142857142854
DDR4-1.3333333,30,100,33541430884.557728,91.33059398255946,56.666666666666664
DDR4-1.3333333,30,120,31029877061.46927,90.50241023561743,54.76190476190476
DDR4-1.3333333,30,140,29143306746.62669,89.88950053705692,58.57142857142857
DDR4-1.3333333,30,160,27210660269.865067,90.17110420327072,56.666666666666664
DDR4-1.3333333,30,180,25316097151.424286,89.2175092259126,54.76190476190476
DDR4-1.3333333,30,200,24104213493.253372,89.24472011026633,54.285714285714285
DDR4-1.3333333,30,220,23212243478.260868,89.1209372637944,55.714285714285715
DDR4-1.3333333,30,260,21066007796.10195,88.24024577572965,55.714285714285715
DDR4-1.3333333,30,300,19324718440.779613,88.53653149571517,54.76190476190476
DDR4-1.3333333,30,340,18271078860.569717,88.59298524604645,52.857142857142854
DDR4-1.3333333,30,380,17077531634.18291,87.79872723282861,53.80952380952381
DDR4-1.3333333,30,450,15186259670.164919,87.55202337345195,54.285714285714285
DDR4-1.3333333,30,550,13371221589.205399,86.91715412279561,54.285714285714285
DDR4-1.3333333,30,600,12632659670.164917,86.82871874864595,52.857142857142854
DDR4-1.3333333,30,700,11265352923.538233,86.67351271718879,54.285714285714285
DDR4-1.3333333,30,800,10196533733.133434,86.23753552053734,53.80952380952381
DDR4-1.3333333,30,900,9389059070.46477,85.63556240106105,51.904761904761905
DDR4-1.3333333,30,1000,8695901649.175413,85.45905612244898,52.38095238095238
DDR4-1.3333333,30,2000,5069721139.4302845,83.65176745544844,48.095238095238095
DDR4-1.3333333,30,10000,1800731634.1829088,77.9910592808552,45.238095238095234
DDR4-1.3333333,40,0,100911697751.12445,199.18505373163757,138.57142857142856
DDR4-1.3333333,40,5,99290098950.52475,168.89325606785926,131.9047619047619
DDR4-1.3333333,40,10,97393789505.24739,151.38563869992439,110.47619047619047
DDR4-1.3333333,40,15,89652792803.5982,126.05391786344168,93.33333333333333
DDR4-1.3333333,40,20,83894884557.72115,119.53968253968253,82.38095238095238
DDR4-1.3333333,40,25,79326762218.89056,112.24339243894278,79.52380952380952
DDR4-1.3333333,40,30,77052977511.2444,110.76350865549472,76.66666666666666
DDR4-1.3333333,40,35,74338648275.86208,109.16386394557823,77.61904761904762
DDR4-1.3333333,40,40,65873328935.53223,104.42711741185023,72.38095238095238
DDR4-1.3333333,40,45,60026022188.90555,100.65681272509003,65.23809523809524
DDR4-1.3333333,40,50,58539092053.973015,100.11364545818327,66.19047619047619
DDR4-1.3333333,40,55,57008167916.041985,99.58498435870699,67.14285714285714
DDR4-1.3333333,40,60,55832352623.688156,98.98595090209997,65.71428571428571
DDR4-1.3333333,40,65,53888690854.57272,98.62437148772553,64.76190476190476
DDR4-1.3333333,40,70,52108310644.67766,98.74967958197772,65.71428571428571
DDR4-1.3333333,40,80,48843015292.35383,96.69947411588748,63.80952380952381
DDR4-1.3333333,40,90,44713691154.42279,94.89909297052155,61.904761904761905
DDR4-1.3333333,40,100,34284224287.85607,91.46852029402365,60.476190476190474
DDR4-1.3333333,40,120,30825892653.673164,90.58854800198225,57.14285714285714
DDR4-1.3333333,40,140,29273139430.28486,89.68828320802005,55.714285714285715
DDR4-1.3333333,40,160,27271513043.47826,89.66295202291442,57.61904761904761
DDR4-1.3333333,40,180,25307701349.325336,89.38917789337957,55.714285714285715
DDR4-1.3333333,40,200,24055719340.329838,88.82251082251082,54.76190476190476
DDR4-1.3333333,40,220,23089731934.03298,88.79238448626204,55.714285714285715
DDR4-1.3333333,40,260,21014826986.50675,88.97607932061713,55.714285714285715
DDR4-1.3333333,40,300,19311352323.83808,88.66967046558882,54.76190476190476
DDR4-1.3333333,40,340,18241995802.09895,88.75161233324498,54.76190476190476
DDR4-1.3333333,40,380,17068262668.665668,88.05371955233706,54.76190476190476
DDR4-1.3333333,40,450,15219977211.394302,87.5529391243677,55.714285714285715
DDR4-1.3333333,40,550,13354228485.757122,86.78638589193639,54.76190476190476
DDR4-1.3333333,40,600,12633197001.499252,86.7192685991594,52.38095238095238
DDR4-1.3333333,40,700,11287249175.412294,86.89085315654924,53.80952380952381
DDR4-1.3333333,40,800,10262020989.505247,86.22720227331438,51.904761904761905
