type,rd_percentage,pause,bandwidth_bytes_per_second,latency_core_ptr_chase,latency_mem_ptr_chase,latency_mem_ptr_chase_ram,bandwidth_ram
DDR4-1.2,0,0,134499406296.85156,61.742844806316306,174.58333333333334,273.51232000000005,67251200000.0
DDR4-1.2,0,5,133907804497.7511,49.20415190869736,135.0,238.96614583333331,66954861769.0
DDR4-1.2,0,10,130921316941.52922,37.0053793256433,100.0,194.64827666666667,65462347227.0
DDR4-1.2,0,15,110390884557.72113,23.769591768843267,54.16666666666667,108.165115,55197015892.0
DDR4-1.2,0,20,110214179310.34483,23.080553248431155,51.66666666666667,103.22360083333334,55108356222.0
DDR4-1.2,0,25,107887304347.82608,22.564010642135642,50.0,99.92054583333334,53945187406.0
DDR4-1.2,0,30,106703026086.95651,22.12412595149584,48.333333333333336,96.29110750000001,53352242279.0
DDR4-1.2,0,35,104582256071.964,21.771589623052147,47.5,94.20570583333334,52292356222.0
DDR4-1.2,0,40,103520105547.22638,21.46337408837409,45.833333333333336,91.510465,51761856672.0
DDR4-1.2,0,45,102679412293.85307,20.931291321449496,44.583333333333336,88.55786333333333,51340627286.0
DDR4-1.2,0,50,100853637181.4093,20.75441762070682,43.75,87.199575,50427662969.0
DDR4-1.2,0,55,99763622188.90555,20.364377289377288,42.5,84.92057333333334,49882617092.0
DDR4-1.2,0,60,98309143028.48576,20.189981840193706,41.66666666666667,83.22327666666666,49156145127.0
DDR4-1.2,0,65,97107056071.964,19.887958104777805,40.833333333333336,80.9017675,48554372414.0
DDR4-1.2,0,70,95630392803.5982,19.62738291362674,39.583333333333336,79.11128000000001,47816309445.0
DDR4-1.2,0,80,93486440779.6102,19.19591013824885,37.91666666666667,75.75999416666667,46744448576.0
DDR4-1.2,0,90,91053327736.13193,18.91058201058201,36.66666666666667,72.98052416666667,45527508246.0
DDR4-1.2,0,100,88185820689.65517,18.585506277393954,35.41666666666667,70.49405166666666,44094176912.0
DDR4-1.2,0,120,82927035682.15892,18.04878246753247,33.333333333333336,66.54827583333334,41464093553.0
DDR4-1.2,0,140,77634475562.21889,17.74997338726847,31.666666666666668,63.178741666666674,38818427586.0
DDR4-1.2,0,160,72796574512.74364,17.64626984126984,30.0,59.96009583333334,36399323538.0
DDR4-1.2,0,180,68235475862.06897,17.492273267603665,29.166666666666668,57.75764916666667,34118582309.0
DDR4-1.2,0,200,64197123838.080956,17.29573571083005,28.333333333333336,56.35271166666667,32099252774.0
DDR4-1.2,0,220,60266084557.72114,17.1876159554731,27.916666666666668,55.31758166666666,30133963418.0
DDR4-1.2,0,260,53526337631.1844,17.02809285373663,26.666666666666668,53.21385666666667,26764128336.0
DDR4-1.2,0,300,48025062668.66567,16.905412022965216,25.833333333333336,51.589331666666666,24013260569.0
DDR4-1.2,0,340,43560606896.55173,16.83155098197471,25.416666666666668,50.71238,21780840779.0
